,Route ID,Difference
0,135,0 days 00:01:00
1,135,0 days 00:02:40
2,135,0 days 00:03:21
3,135,0 days 00:01:04
4,135,0 days 00:02:28
5,135,0 days 00:02:29
6,135,0 days 00:01:54
7,135,0 days 00:00:02
8,135,0 days 00:00:12
9,135,0 days 00:00:00
10,135,-1 days +23:59:09
11,135,0 days 00:00:21
12,135,0 days 00:01:26
13,135,-1 days +23:59:42
14,135,0 days 00:01:02
15,135,0 days 00:01:06
16,135,0 days 00:00:02
17,135,0 days 00:00:55
18,135,0 days 00:01:02
19,135,0 days 00:01:22
20,135,0 days 00:00:40
21,135,0 days 00:02:09
22,135,0 days 00:03:22
23,135,0 days 00:01:51
24,135,0 days 00:03:01
25,135,0 days 00:03:35
26,135,0 days 00:03:03
27,135,0 days 00:00:10
28,135,0 days 00:02:15
29,135,0 days 00:02:56
30,135,0 days 00:04:17
31,135,0 days 00:02:54
32,135,0 days 00:03:45
33,135,0 days 00:04:47
34,135,0 days 00:03:19
35,135,0 days 00:04:09
36,135,0 days 00:04:49
37,135,0 days 00:04:27
38,135,0 days 00:00:02
39,135,0 days 00:00:07
40,135,0 days 00:00:03
41,135,-1 days +23:59:39
42,135,-1 days +23:59:37
43,135,0 days 00:00:44
44,135,0 days 00:01:42
45,135,0 days 00:00:10
46,135,0 days 00:01:37
47,135,0 days 00:01:06
48,135,0 days 00:00:31
49,135,0 days 00:00:01
50,135,0 days 00:01:45
51,135,0 days 00:02:40
52,135,0 days 00:04:47
53,135,0 days 00:03:54
54,135,0 days 00:04:53
55,135,0 days 00:06:31
56,135,0 days 00:05:03
57,135,0 days 00:05:58
58,135,0 days 00:06:35
59,135,0 days 00:06:21
60,135,0 days 00:00:10
61,135,0 days 00:00:11
62,135,0 days 00:00:15
63,135,0 days 00:00:49
64,135,-1 days +23:59:54
65,135,0 days 00:02:37
66,135,0 days 00:01:20
67,135,0 days 00:02:05
68,135,0 days 00:02:01
69,135,0 days 00:01:37
70,135,0 days 00:00:02
71,135,0 days 00:01:01
72,135,0 days 00:01:17
73,135,0 days 00:02:21
74,135,0 days 00:01:16
75,135,0 days 00:02:08
76,135,0 days 00:02:50
77,135,0 days 00:00:51
78,135,0 days 00:02:22
79,135,0 days 00:02:17
80,135,0 days 00:01:38
81,135,0 days 00:02:21
82,135,0 days 00:02:42
83,135,0 days 00:04:53
84,135,0 days 00:04:56
85,135,0 days 00:05:35
86,135,0 days 00:07:02
87,135,0 days 00:05:32
88,135,0 days 00:06:41
89,135,0 days 00:07:24
90,135,0 days 00:07:04
91,135,0 days 00:07:16
92,135,0 days 00:00:02
93,135,0 days 00:01:10
94,135,0 days 00:01:23
95,135,0 days 00:03:52
96,135,0 days 00:02:32
97,135,0 days 00:05:06
98,135,0 days 00:06:15
99,135,0 days 00:04:35
100,135,0 days 00:06:06
101,135,0 days 00:06:15
102,135,0 days 00:05:39
103,135,0 days 00:00:02
104,135,0 days 00:01:05
105,135,0 days 00:00:02
106,135,0 days 00:01:42
107,135,0 days 00:00:43
108,135,0 days 00:01:30
109,135,0 days 00:01:58
110,135,0 days 00:00:17
111,135,0 days 00:01:30
112,135,0 days 00:01:33
113,135,0 days 00:00:58
114,135,0 days 00:01:12
115,135,0 days 00:02:14
116,135,0 days 00:02:41
117,135,0 days 00:04:55
118,135,0 days 00:03:35
119,135,0 days 00:04:39
120,135,0 days 00:05:51
121,135,0 days 00:04:15
122,135,0 days 00:05:33
123,135,0 days 00:06:13
124,135,0 days 00:05:41
125,135,0 days 00:00:00
126,135,0 days 00:00:24
127,135,0 days 00:01:04
128,135,0 days 00:03:32
129,135,0 days 00:02:31
130,135,0 days 00:02:48
131,135,0 days 00:03:38
132,135,0 days 00:01:42
133,135,0 days 00:03:05
134,135,0 days 00:02:28
135,135,0 days 00:02:10
136,135,0 days 00:00:04
137,135,0 days 00:00:38
138,135,0 days 00:01:18
139,135,0 days 00:03:26
140,135,0 days 00:03:15
141,135,0 days 00:03:05
142,135,0 days 00:04:17
143,135,0 days 00:02:48
144,135,0 days 00:04:04
145,135,0 days 00:04:21
146,135,0 days 00:03:55
147,135,0 days 00:01:47
148,135,0 days 00:02:55
149,135,0 days 00:03:29
150,135,0 days 00:05:49
151,135,0 days 00:04:42
152,135,0 days 00:06:05
153,135,0 days 00:07:08
154,135,0 days 00:05:27
155,135,0 days 00:06:44
156,135,0 days 00:06:26
157,135,0 days 00:06:03
158,135,0 days 00:00:17
159,135,0 days 00:01:52
160,135,0 days 00:02:35
161,135,0 days 00:04:03
162,135,0 days 00:03:23
163,135,0 days 00:05:14
