,Route ID,Difference
227,135,0 days 00:08:16
228,135,0 days 00:05:45
229,135,0 days 00:07:14
230,135,0 days 00:06:33
231,135,0 days 00:06:19
232,135,0 days 00:00:00
233,135,0 days 00:00:47
234,135,0 days 00:00:58
235,135,0 days 00:01:17
236,135,0 days 00:01:19
237,135,0 days 00:02:24
238,135,0 days 00:03:35
239,135,0 days 00:00:58
240,135,0 days 00:02:13
241,135,0 days 00:02:03
242,135,0 days 00:00:15
243,135,0 days 00:02:01
244,135,0 days 00:02:25
245,135,0 days 00:04:37
246,135,0 days 00:03:43
247,135,0 days 00:04:09
248,135,0 days 00:05:03
249,135,0 days 00:02:27
250,135,0 days 00:03:01
251,135,0 days 00:03:54
252,135,0 days 00:03:27
253,135,0 days 00:00:17
254,135,0 days 00:00:25
255,135,0 days 00:00:43
256,135,0 days 00:00:54
257,135,0 days 00:00:10
258,135,0 days 00:01:22
259,135,0 days 00:02:05
260,135,-1 days +23:59:31
261,135,0 days 00:00:22
262,135,0 days 00:00:01
263,135,-1 days +23:59:13
264,135,0 days 00:00:00
265,135,0 days 00:01:26
266,135,0 days 00:01:43
267,135,0 days 00:01:54
268,135,0 days 00:00:29
269,135,0 days 00:00:58
270,135,0 days 00:02:02
271,135,-1 days +23:59:38
272,135,0 days 00:00:16
273,135,0 days 00:00:55
274,135,0 days 00:00:19
275,135,0 days 00:00:06
276,135,0 days 00:00:41
277,135,0 days 00:01:46
278,135,0 days 00:03:01
279,135,0 days 00:03:38
280,135,0 days 00:05:07
281,135,0 days 00:06:27
282,135,0 days 00:04:02
283,135,0 days 00:05:32
284,135,0 days 00:04:45
285,135,0 days 00:04:31
286,135,0 days 00:01:26
287,135,0 days 00:04:02
288,135,0 days 00:04:53
289,135,0 days 00:03:34
290,135,0 days 00:06:28
291,135,0 days 00:07:32
292,135,0 days 00:04:44
293,135,0 days 00:06:02
294,135,0 days 00:05:35
295,135,0 days 00:05:19
296,135,0 days 00:00:02
297,135,0 days 00:00:39
298,135,0 days 00:01:12
299,135,0 days 00:00:28
300,135,0 days 00:00:37
301,135,0 days 00:00:01
302,135,0 days 00:01:29
303,135,0 days 00:03:05
304,135,0 days 00:00:07
305,135,0 days 00:01:38
306,135,0 days 00:02:03
307,135,0 days 00:01:39
308,135,0 days 00:00:06
309,135,0 days 00:01:07
310,135,0 days 00:01:33
311,135,0 days 00:01:35
312,135,0 days 00:01:12
313,135,0 days 00:03:11
314,135,0 days 00:04:02
315,135,0 days 00:01:24
316,135,0 days 00:02:21
317,135,0 days 00:02:56
318,135,0 days 00:02:43
319,135,0 days 00:00:20
320,135,0 days 00:01:48
321,135,0 days 00:02:33
322,135,0 days 00:02:42
323,135,0 days 00:03:22
324,135,0 days 00:04:51
325,135,0 days 00:05:38
326,135,0 days 00:03:10
327,135,0 days 00:04:35
328,135,0 days 00:03:54
329,135,0 days 00:03:34
330,135,0 days 00:00:04
331,135,0 days 00:00:25
