,Vehicle ID,Trip ID,Route ID,Direction,Schedule Relationship,Current Stop Sequence,Current Stop ID,Timestamp,Location
3871,X296,12301-2-13-170-1203,138,0.0,0.0,18.0,0722-02,2025-04-09 23:34:12,35.695465087890625 139.70713806152344
3872,Z546,12302-1-13-170-1224,138,1.0,0.0,6.0,0456-02,2025-04-09 23:35:30,35.697784423828125 139.7098846435547
3873,F567,24101-1-21-170-1223,148,1.0,0.0,6.0,1092-02,2025-04-09 23:35:16,35.69756317138672 139.6750030517578
3874,K232,24101-1-21-170-1156,148,1.0,0.0,24.0,1216-02,2025-04-09 23:34:46,35.74171829223633 139.66937255859375
3875,C215,24101-1-21-170-1128,148,1.0,0.0,41.0,0361-02,2025-04-09 23:33:42,35.7686653137207 139.73101806640625
3876,L317,24101-2-21-170-1234,148,0.0,0.0,1.0,0196-03,2025-04-09 23:34:05,35.75390625 139.7373504638672
3877,C216,24101-2-21-170-1206,148,0.0,0.0,21.0,0555-01,2025-04-09 23:34:31,35.74811553955078 139.67855834960938
3878,A599,24101-2-21-170-1138,148,0.0,0.0,35.0,1598-04,2025-04-09 23:34:13,35.69845962524414 139.65484619140625
3879,F566,24006-1-21-170-1221,158,1.0,0.0,11.0,1122-01,2025-04-09 23:34:12,35.69566345214844 139.68922424316406
3880,E400,24006-2-21-170-1226,158,0.0,0.0,5.0,1388-02,2025-04-09 23:35:13,35.69727325439453 139.67950439453125
3881,T262,24302-1-21-170-1223,158,1.0,0.0,8.0,1620-01,2025-04-09 23:34:51,35.68692398071289 139.65570068359375
3882,B725,24302-2-21-170-1215,158,0.0,0.0,13.0,1598-01,2025-04-09 23:35:02,35.69745635986328 139.65478515625
3883,B715,24001-1-06-170-1234,169,1.0,0.0,1.0,0606-07,2025-04-09 23:34:09,35.6298942565918 139.73724365234375
3884,L308,24001-1-06-170-1213,169,1.0,0.0,10.0,1357-02,2025-04-09 23:34:39,35.649986267089844 139.72235107421875
3885,H859,24001-1-06-170-1152,169,1.0,0.0,21.0,0574-02,2025-04-09 23:33:58,35.68355941772461 139.71974182128906
3886,T245,24001-2-21-170-1229,169,0.0,0.0,2.0,0703-01,2025-04-09 23:32:51,35.692447662353516 139.7012176513672
3887,F568,24001-2-21-170-1207,169,0.0,0.0,15.0,0014-01,2025-04-09 23:35:01,35.67133712768555 139.7246551513672
3888,H177,24001-2-06-170-1145,169,0.0,0.0,26.0,0866-04,2025-04-09 23:33:21,35.64131164550781 139.73768615722656
3889,F584,44201-1-37-170-1214,122,1.0,0.0,13.0,1529-05,2025-04-09 23:35:57,35.7219352722168 139.70632934570312
3890,G745,44201-1-37-170-1204,122,1.0,0.0,20.0,0799-02,2025-04-09 23:35:23,35.7138557434082 139.72604370117188
3891,F577,44201-1-37-170-1154,122,1.0,0.0,24.0,2549-01,2025-04-09 23:35:25,35.70572280883789 139.72720336914062
3892,F576,44201-1-37-170-1144,122,1.0,0.0,29.0,0102-02,2025-04-09 23:33:30,35.69490432739258 139.7248992919922
3893,F583,44201-1-37-170-1133,122,1.0,0.0,35.0,0334-03,2025-04-09 23:35:12,35.693267822265625 139.70191955566406
3894,F582,44201-2-37-170-1226,122,0.0,0.0,5.0,1235-02,2025-04-09 23:35:27,35.69133377075195 139.7129364013672
3895,L330,44201-2-37-170-1216,122,0.0,0.0,10.0,0141-02,2025-04-09 23:35:59,35.6984977722168 139.72579956054688
3896,E512,44201-2-37-170-1206,122,0.0,0.0,18.0,1531-01,2025-04-09 23:36:04,35.71505355834961 139.72450256347656
3897,K254,44201-2-37-170-1157,122,0.0,0.0,22.0,1530-01,2025-04-09 23:34:15,35.71987533569336 139.71099853515625
